Province,Region,Year,Birthrate,Wage,GRP,CPI
Shandong,East China,2010,11.65,33729,110.4,102.9
Henan,South Central China,2010,11.52,30303,112.4,103.5
Hubei,South Central China,2010,10.36,32588,114.7,102.9
Hunan,South Central China,2010,13.1,30483,114.6,103.1
Guangdong,South Central China,2010,11.18,40358,112.5,103.1
Guangxi,South Central China,2010,14.13,31842,111.7,103
Hainan,South Central China,2010,14.71,31025,116,104.8
Chongqing,Southwest China,2010,9.17,35326,117.2,103.2
Sichuan,Southwest China,2010,8.93,33112,115.1,103.2
Guizhou,Southwest China,2010,13.96,31458,112.8,102.9
Yunnan,Southwest China,2010,13.1,30177,112.3,103.7
Tibet,Southwest China,2010,15.8,54397,112.3,102.2
Shaanxi,Northwest China,2010,9.73,34299,113.9,104
Gansu,Northwest China,2010,12.05,29588,111.8,104.1
Qinghai,Northwest China,2010,14.94,37182,113.3,105.4
Ningxia,Northwest China,2010,14.14,39144,112.5,104.1
Xinjiang,Northwest China,2010,15.99,32361,110.6,104.3
Beijing,North China,2009,8.06,58140,110,98.5
Tianjin,North China,2009,8.3,44992,113.8,99
Hebei,North China,2009,12.93,28383,108.1,99.3
Shanxi,North China,2009,10.87,28469,105.5,99.6
Inner Mongolia,North China,2009,9.57,30699,116,99.7
Liaoning,Northeast China,2009,6.06,31104,110.4,100
Jilin,Northeast China,2009,6.69,26230,110.3,100.1
Heilongjiang,Northeast China,2009,7.48,26535,110.1,100.2
Shanghai,East China,2009,8.64,63549,108.4,99.6
Jiangsu,East China,2009,9.55,35890,112.4,99.6
Zhejiang,East China,2009,10.22,37395,109,98.5
Anhui,East China,2009,13.07,29658,113.1,99.1
Fujian,East China,2009,12.2,28666,112.3,98.2
Jiangxi,East China,2009,13.87,24696,113.2,99.3
Shandong,East China,2009,11.7,29688,109.8,100
Henan,South Central China,2009,11.45,27357,111,99.4
Hubei,South Central China,2009,9.48,27127,113.7,99.6
Hunan,South Central China,2009,13.05,27284,113.9,99.6
Guangdong,South Central China,2009,11.78,36355,109.9,97.7
Guangxi,South Central China,2009,14.17,28302,111.5,97.9
Hainan,South Central China,2009,14.66,24934,111.7,99.3
Chongqing,Southwest China,2009,9.9,30965,115.1,98.4
Sichuan,Southwest China,2009,9.15,28563,114.5,100.8
Guizhou,Southwest China,2009,13.65,28245,111.4,98.7
Yunnan,Southwest China,2009,12.53,26992,112.1,100.4
Tibet,Southwest China,2009,15.31,48750,112.4,101.4
Shaanxi,Northwest China,2009,10.24,30185,112.2,100.5
Gansu,Northwest China,2009,13.32,27177,110.2,101.3
Qinghai,Northwest China,2009,14.51,33561,110.1,102.6
Ningxia,Northwest China,2009,14.38,34082,110.9,100.7
Xinjiang,Northwest China,2009,15.99,27753,108.1,100.7
Beijing,North China,2008,8.17,56328,109,105.1
Tianjin,North China,2008,8.13,41748,113.7,105.4
Hebei,North China,2008,13.04,24756,108,106.2
Shanxi,North China,2008,11.32,25828,108.3,107.2
Inner Mongolia,North China,2008,9.81,26114,116.5,105.7
Liaoning,Northeast China,2008,6.32,27729,110.7,104.6
Jilin,Northeast China,2008,6.65,23486,112,105.1
Heilongjiang,Northeast China,2008,7.91,23046,110.3,105.6
Shanghai,East China,2008,8.89,56565,109.7,105.8
Jiangsu,East China,2008,9.34,31667,112.7,105.4
Zhejiang,East China,2008,10.2,34146,110.1,105
Anhui,East China,2008,13.05,26363,112.6,106.2
Fujian,East China,2008,12.2,25702,112.9,104.6
Jiangxi,East China,2008,13.92,21000,113.3,106
Shandong,East China,2008,11.25,26404,109.7,105.3
Henan,South Central China,2008,11.42,24816,112,107
Hubei,South Central China,2008,9.21,22739,113.4,106.3
Hunan,South Central China,2008,12.68,24870,114.1,106
Guangdong,South Central China,2008,11.8,33110,110.5,105.6
Guangxi,South Central China,2008,14.4,25660,110.3,107.8
Hainan,South Central China,2008,14.71,21864,110.3,106.9
Chongqing,Southwest China,2008,10.1,26985,114.6,105.6
Sichuan,Southwest China,2008,9.54,25038,111,105.1
Guizhou,Southwest China,2008,13.49,24602,111.3,107.6
Yunnan,Southwest China,2008,12.63,24030,110.6,105.7
Tibet,Southwest China,2008,15.5,47280,110.1,105.7
Shaanxi,Northwest China,2008,10.29,25942,114.7,106.4
Gansu,Northwest China,2008,13.22,24017,110.1,108.2
Qinghai,Northwest China,2008,14.49,30983,112.5,110.1
Ningxia,Northwest China,2008,14.31,30719,111.6,108.5
Xinjiang,Northwest China,2008,16.05,24687,111,108.1
Beijing,North China,2007,8.32,46507,114.4,102.4
Tianjin,North China,2007,7.91,34938,112.8,104.2
Hebei,North China,2007,13.33,19911,109.6,104.7
Shanxi,North China,2007,11.3,21525,113.2,104.6
Inner Mongolia,North China,2007,10.21,21884,118,104.6
Liaoning,Northeast China,2007,6.89,23202,112.9,105.1
Jilin,Northeast China,2007,7.55,20513,111.6,105.3
Heilongjiang,Northeast China,2007,7.88,19386,109.8,105.2
Shanghai,East China,2007,9.07,49310,115.2,103.2
Jiangsu,East China,2007,9.37,27374,114.9,104.3
Zhejiang,East China,2007,10.38,31086,114.5,104.2
Anhui,East China,2007,12.75,22180,114.1,105.3
Fujian,East China,2007,11.9,22283,115.1,105.2
Jiangxi,East China,2007,13.86,18400,113.2,104.8
Shandong,East China,2007,11.11,22844,111.9,104.4
Henan,South Central China,2007,11.26,20935,114.6,105.4
Hubei,South Central China,2007,9.19,19818,114.6,104.8
Hunan,South Central China,2007,11.96,21534,115.1,105.6
Guangdong,South Central China,2007,11.96,29443,115,103.7
Guangxi,South Central China,2007,14.19,21898,113,106.1
Hainan,South Central China,2007,14.62,19357,115.8,105.1
Chongqing,Southwest China,2007,10.1,23098,116,104.7
Sichuan,Southwest China,2007,9.21,21312,114.5,105.9
Guizhou,Southwest China,2007,13.28,20668,114.8,106.4
Yunnan,Southwest China,2007,13.08,20481,112.2,105.9
Tibet,Southwest China,2007,16.4,46098,114,103.4
Shaanxi,Northwest China,2007,10.21,21296,114.3,105.2
Gansu,Northwest China,2007,13.14,20987,112.3,105.2
Qinghai,Northwest China,2007,14.93,26166,112.5,106.7
Ningxia,Northwest China,2007,14.8,26210,111.7,105.5
Xinjiang,Northwest China,2007,16.79,21434,112.2,105.5
Beijing,North China,2006,6.26,40117,112.8,100.9
Tianjin,North China,2006,7.67,28682,111.9,101.5
Hebei,North China,2006,12.82,16590,110.3,101.7
Shanxi,North China,2006,11.48,18300,109.9,102
Inner Mongolia,North China,2006,9.87,18469,118,101.5
Liaoning,Northeast China,2006,6.4,19624,111.5,101.2
Jilin,Northeast China,2006,7.67,16583,110.8,101.4
Heilongjiang,Northeast China,2006,7.57,16505,110.4,101.9
Shanghai,East China,2006,7.47,41188,112.8,101.2
Jiangsu,East China,2006,9.36,23782,114.9,101.6
Zhejiang,East China,2006,10.29,27820,114,101.1
Anhui,East China,2006,12.6,17949,112.6,101.2
Fujian,East China,2006,12,19318,114.9,100.8
Jiangxi,East China,2006,13.8,15590,112.3,101.2
Shandong,East China,2006,11.6,19228,112.3,101
Henan,South Central China,2006,11.59,16981,114.5,101.3
Hubei,South Central China,2006,9.08,16048,113.3,101.6
Hunan,South Central China,2006,11.92,17850,112.8,101.4
Guangdong,South Central China,2006,11.78,26186,114.9,101.8
Guangxi,South Central China,2006,14.44,18064,111.1,101.3
Hainan,South Central China,2006,14.59,15890,110.6,101.5
Chongqing,Southwest China,2006,9.9,19215,112.5,102.4
Sichuan,Southwest China,2006,9.14,17852,113.5,102.3
Guizhou,Southwest China,2006,13.97,16815,112.8,101.7
Yunnan,Southwest China,2006,13.2,18711,111.8,101.9
Tibet,Southwest China,2006,17.4,31518,113.3,102
Shaanxi,Northwest China,2006,10.19,16918,112.3,101.5
Gansu,Northwest China,2006,12.86,17246,112,101.3
Qinghai,Northwest China,2006,15.24,22679,112.3,101.6
Ningxia,Northwest China,2006,15.53,21239,111.7,101.9
Xinjiang,Northwest China,2006,15.79,17819,111,101.3
Beijing,North China,2005,6.29,34191,112.3,101.5
Tianjin,North China,2005,7.44,25271,112.2,101.5
Hebei,North China,2005,12.84,14707,110.3,101.8
Shanxi,North China,2005,12.02,15645,110.5,102.3
Inner Mongolia,North China,2005,10.08,15985,119.6,102.4
Liaoning,Northeast China,2005,7.01,17331,110.5,101.4
Jilin,Northeast China,2005,7.89,14409,108.6,101.5
Heilongjiang,Northeast China,2005,7.87,14458,110.6,101.2
Shanghai,East China,2005,7.04,34345,111.5,101
Jiangsu,East China,2005,9.24,20957,114.5,102.1
Zhejiang,East China,2005,11.1,25896,112.9,101.3
Anhui,East China,2005,12.43,15334,111,101.4
Fujian,East China,2005,11.6,17146,111.6,102.2
Jiangxi,East China,2005,13.79,13688,112.9,101.7
Shandong,East China,2005,12.14,16614,112.6,101.7
Henan,South Central China,2005,11.55,14282,114.3,102.1
Hubei,South Central China,2005,8.74,14419,112.1,102.9
Hunan,South Central China,2005,11.9,15659,112.2,102.3
Guangdong,South Central China,2005,11.7,23959,114.2,102.3
Guangxi,South Central China,2005,14.26,15461,111.1,102.4
Hainan,South Central China,2005,14.65,14417,110.5,101.5
Chongqing,Southwest China,2005,9.4,16630,111.8,100.8
Sichuan,Southwest China,2005,9.7,15826,112.7,101.7
Guizhou,Southwest China,2005,14.59,14344,112.7,101
Yunnan,Southwest China,2005,14.72,16140,108.9,101.4
Tibet,Southwest China,2005,17.94,28950,112.1,101.5
Shaanxi,Northwest China,2005,10.02,14796,112.1,101.2
Gansu,Northwest China,2005,12.59,14939,111.8,101.7
Qinghai,Northwest China,2005,15.7,19084,111.2,100.8
Ningxia,Northwest China,2005,15.93,17211,109.9,101.5
Xinjiang,Northwest China,2005,16.42,15558,110.9,100.7
Beijing,North China,2004,6.1,29674,113.3,101
Tianjin,North China,2004,7.31,21754,113.6,102.3
Hebei,North China,2004,11.98,12925,110,104.3
Shanxi,North China,2004,12.36,12943,112.2,104.1
Inner Mongolia,North China,2004,9.53,13324,116.7,102.9
Liaoning,Northeast China,2004,6.51,14921,110.4,103.5
Jilin,Northeast China,2004,7.39,12431,109,104.1
Heilongjiang,Northeast China,2004,7.27,12557,110.4,103.8
Shanghai,East China,2004,6,30085,113.3,102.2
Jiangsu,East China,2004,9.45,18202,114.1,104.1
Zhejiang,East China,2004,10.71,23506,113.1,103.9
Anhui,East China,2004,11.62,12928,112.4,104.5
Fujian,East China,2004,11.58,15603,111.4,104
Jiangxi,East China,2004,13.61,11860,113.2,103.5
Shandong,East China,2004,12.5,14332,112.5,103.6
Henan,South Central China,2004,11.67,12114,112.8,105.4
Hubei,South Central China,2004,8.43,11855,110.8,104.9
Hunan,South Central China,2004,11.89,13928,111.1,105.1
Guangdong,South Central China,2004,13.13,22116,113.2,103
Guangxi,South Central China,2004,13.32,13579,110.3,104.4
Hainan,South Central China,2004,14.77,12652,109.7,104.4
Chongqing,Southwest China,2004,9.45,14357,112.5,103.7
Sichuan,Southwest China,2004,9.05,14063,111.9,104.9
Guizhou,Southwest China,2004,15.08,12431,110.4,104
Yunnan,Southwest China,2004,15.6,14581,110.3,106
Tibet,Southwest China,2004,17.4,30873,112.1,102.7
Shaanxi,Northwest China,2004,10.59,13024,113,103.1
Gansu,Northwest China,2004,12.43,13623,110.9,102.3
Qinghai,Northwest China,2004,16.32,17229,111.3,103.2
Ningxia,Northwest China,2004,15.97,14620,110.2,103.7
Xinjiang,Northwest China,2004,16,14484,111.4,102.7
Beijing,North China,2003,5.1,25312,111.1,100.2
Tianjin,North China,2003,7.14,18648,112.3,101
Hebei,North China,2003,11.43,11189,108.4,102.2
Shanxi,North China,2003,12.26,10729,111.9,101.8
Inner Mongolia,North China,2003,9.24,11279,116.3,102.2
Liaoning,Northeast China,2003,6.9,13008,108.9,101.7
Jilin,Northeast China,2003,7.25,11081,109.2,101.2
Heilongjiang,Northeast China,2003,7.48,11038,109.8,100.9
Shanghai,East China,2003,4.85,27304,112.3,100.1
Jiangsu,East China,2003,9.04,15712,113.6,101
Zhejiang,East China,2003,9.66,21367,114.7,101.9
Anhui,East China,2003,11.15,10581,109.4,101.7
Fujian,East China,2003,11.43,14310,111.5,100.8
Jiangxi,East China,2003,14.07,10521,113,100.8
Shandong,East China,2003,11.42,12567,110.8,101.1
Henan,South Central China,2003,12.1,10749,110.9,101.6
Hubei,South Central China,2003,8.26,10692,109.7,102.2
Hunan,South Central China,2003,11.82,12221,109.6,102.4
Guangdong,South Central China,2003,13.66,19986,114.8,100.6
Guangxi,South Central China,2003,13.86,11953,109.1,101.1
Hainan,South Central China,2003,14.68,10397,110.6,100.1
Chongqing,Southwest China,2003,9.89,12425,111.7,100.6
Sichuan,Southwest China,2003,9.18,12441,111,101.7
Guizhou,Southwest China,2003,15.91,11037,110.1,101.2
Yunnan,Southwest China,2003,17,12870,108.8,101.2
Tibet,Southwest China,2003,17.4,26931,112,100.9
Shaanxi,Northwest China,2003,10.67,11461,111.8,101.7
Gansu,Northwest China,2003,12.58,12307,111.3,101.1
Qinghai,Northwest China,2003,16.94,15356,110.9,102
Ningxia,Northwest China,2003,15.68,12981,111.7,101.7
Xinjiang,Northwest China,2003,16.01,13255,111.2,100.4
Beijing,North China,2002,6.6,21852,111.8,98.2
Tianjin,North China,2002,7.49,16258,110.2,99.6
Hebei,North China,2002,11.53,10032,109.5,99
Shanxi,North China,2002,12.86,9357,112.9,98.4
Inner Mongolia,North China,2002,9.6,9683,113.2,100.2
Liaoning,Northeast China,2002,7.38,11659,110.2,98.9
Jilin,Northeast China,2002,8.3,9990,107,99.5
Heilongjiang,Northeast China,2002,7.98,9926,109.9,99.3
Shanghai,East China,2002,5.41,23959,111.4,100.5
Jiangsu,East China,2002,9.17,13509,111.7,99.2
Zhejiang,East China,2002,9.98,18785,112.7,99.1
Anhui,East China,2002,11.2,9296,109.9,99
Fujian,East China,2002,11.35,13306,110.2,99.5
Jiangxi,East China,2002,14.74,9262,110.5,100.1
Shandong,East China,2002,11.17,11374,111,99.3
Henan,South Central China,2002,12.41,9174,109.1,100.1
Hubei,South Central China,2002,8.38,9611,109.2,99.6
Hunan,South Central China,2002,11.56,10967,109,99.5
Guangdong,South Central China,2002,13.29,17184,112.4,98.6
Guangxi,South Central China,2002,13.3,10074,110.6,99.1
Hainan,South Central China,2002,15.2,9480,109.6,99.5
Chongqing,Southwest China,2002,9.36,10960,110.5,99.6
Sichuan,Southwest China,2002,10.44,11183,110.5,99.7
Guizhou,Southwest China,2002,17.96,9810,109.1,99
Yunnan,Southwest China,2002,17.9,11987,109,99.8
Tibet,Southwest China,2002,18.83,24766,112.9,100.4
Shaanxi,Northwest China,2002,10.48,10351,111.1,98.9
Gansu,Northwest China,2002,13.16,11147,109.9,100
Qinghai,Northwest China,2002,18.05,14472,112.1,102.3
Ningxia,Northwest China,2002,16.42,11640,110.2,99.4
Xinjiang,Northwest China,2002,16.3,11605,108.2,99.4
Beijing,North China,2001,6.1,19155,111.8,103.1
Tianjin,North China,2001,7.58,14308,109.6,101.2
Hebei,North China,2001,11.16,8730,108.7,100.5
Shanxi,North China,2001,13.06,8122,110.1,99.8
Inner Mongolia,North China,2001,10.77,8250,110.7,100.6
Liaoning,Northeast China,2001,7.74,10145,109,100
Jilin,Northeast China,2001,8.76,8771,108.4,101.3
Heilongjiang,Northeast China,2001,8.48,8910,108.9,100.8
Shanghai,East China,2001,5.02,21781,110.5,100
Jiangsu,East China,2001,9.03,11842,110.2,100.8
Zhejiang,East China,2001,10.02,16385,110.7,99.8
Anhui,East China,2001,12.46,7908,109.2,100.5
Fujian,East China,2001,11.56,12013,108.7,98.7
Jiangxi,East China,2001,15.44,8026,108.8,99.5
Shandong,East China,2001,11.12,10008,109.4,101.8
Henan,South Central China,2001,13.2,7916,108.7,100.7
Hubei,South Central China,2001,8.51,8619,108.9,100.3
Hunan,South Central China,2001,11.8,9623,109,99.1
Guangdong,South Central China,2001,13.95,15682,110.5,99.3
Guangxi,South Central China,2001,13.8,9075,108.3,100.6
Hainan,South Central China,2001,15.23,8321,109.1,98.5
Chongqing,Southwest China,2001,9.7,9523,109.2,101.7
Sichuan,Southwest China,2001,11.16,9934,109,102.1
Guizhou,Southwest China,2001,18.56,8991,108.8,101.8
Yunnan,Southwest China,2001,18.51,10537,106.8,99.1
Tibet,Southwest China,2001,18.6,19144,112.7,100.1
Shaanxi,Northwest China,2001,10.5,9120,109.8,101
Gansu,Northwest China,2001,13.58,9949,109.8,104
Qinghai,Northwest China,2001,19.06,12906,111.7,102.6
Ningxia,Northwest China,2001,16.55,10442,110.1,101.6
Xinjiang,Northwest China,2001,16.82,10278,108.6,104
