Province,Year,Birthrate,Healthcare
Beijing,2019,8.12,10336
Tianjin,2019,6.73,5962
Hebei,2019,10.83,84651
Shanxi,2019,9.12,42162
Inner Mongolia,2019,8.23,24564
Liaoning,2019,6.45,34238
Jilin,2019,6.05,22198
Heilongjiang,2019,5.73,20375
Shanghai,2019,7,5597
Jiangsu,2019,9.12,34796
Zhejiang,2019,10.51,34119
Anhui,2019,12.03,26435
Fujian,2019,12.9,27788
Jiangxi,2019,12.59,37029
Shandong,2019,11.77,83616
Henan,2019,11.02,70734
Hubei,2019,11.35,35515
Hunan,2019,10.39,57230
Guangdong,2019,12.54,53900
Guangxi,2019,13.31,33679
Hainan,2019,12.87,5417
Chongqing,2019,10.48,21057
Sichuan,2019,10.7,83756
Guizhou,2019,13.65,28511
Yunnan,2019,12.63,25587
Tibet,2019,14.6,6940
Shaanxi,2019,10.55,35404
Gansu,2019,10.6,26697
Qinghai,2019,13.66,6513
Ningxia,2019,13.72,4397
Xinjiang,2019,8.14,18376
Beijing,2018,8.24,10058
Tianjin,2018,6.67,5686
Hebei,2018,11.26,85088
Shanxi,2018,9.63,42079
Inner Mongolia,2018,8.35,24610
Liaoning,2018,6.39,36029
Jilin,2018,6.62,22691
Heilongjiang,2018,5.98,20349
Shanghai,2018,7.2,5293
Jiangsu,2018,9.32,33254
Zhejiang,2018,11.02,32754
Anhui,2018,12.41,24925
Fujian,2018,13.2,27590
Jiangxi,2018,13.43,36545
Shandong,2018,13.26,81470
Henan,2018,11.72,71351
Hubei,2018,11.54,36486
Hunan,2018,12.19,56239
Guangdong,2018,12.79,51451
Guangxi,2018,14.12,33742
Hainan,2018,14.48,5325
Chongqing,2018,11.02,20524
Sichuan,2018,11.05,81537
Guizhou,2018,13.9,28066
Yunnan,2018,13.19,24954
Tibet,2018,15.22,6844
Shaanxi,2018,10.67,35300
Gansu,2018,11.07,27897
Qinghai,2018,14.31,6396
Ningxia,2018,13.32,4450
Xinjiang,2018,10.69,18450
Beijing,2017,9.06,9976
Tianjin,2017,7.65,5539
Hebei,2017,13.2,80912
Shanxi,2017,11.06,42490
Inner Mongolia,2017,9.47,24218
Liaoning,2017,6.49,35767
Jilin,2017,6.76,20828
Heilongjiang,2017,6.22,20283
Shanghai,2017,8.1,5144
Jiangsu,2017,9.71,32037
Zhejiang,2017,11.92,31979
Anhui,2017,14.07,24491
Fujian,2017,15,27217
Jiangxi,2017,13.79,37791
Shandong,2017,17.54,79050
Henan,2017,12.95,71089
Hubei,2017,12.6,36357
Hunan,2017,13.27,58624
Guangdong,2017,13.68,49874
Guangxi,2017,15.14,34008
Hainan,2017,14.73,5180
Chongqing,2017,11.18,19682
Sichuan,2017,11.26,80481
Guizhou,2017,13.98,28034
Yunnan,2017,13.53,24684
Tibet,2017,16,6826
Shaanxi,2017,11.11,35861
Gansu,2017,12.54,28857
Qinghai,2017,14.42,6375
Ningxia,2017,13.44,4271
Xinjiang,2017,15.88,18724
Beijing,2016,9.32,9773
Tianjin,2016,7.37,5443
Hebei,2016,12.42,78795
Shanxi,2016,10.29,42204
Inner Mongolia,2016,9.03,24002
Liaoning,2016,6.6,36131
Jilin,2016,5.55,20829
Heilongjiang,2016,6.12,20375
Shanghai,2016,9,5016
Jiangsu,2016,9.76,32117
Zhejiang,2016,11.22,31546
Anhui,2016,13.02,24385
Fujian,2016,14.5,27656
Jiangxi,2016,13.45,38272
Shandong,2016,17.89,76997
Henan,2016,13.26,71271
Hubei,2016,12.04,36354
Hunan,2016,13.57,61055
Guangdong,2016,11.85,49079
Guangxi,2016,13.82,34253
Hainan,2016,14.57,5144
Chongqing,2016,11.77,19933
Sichuan,2016,10.48,79513
Guizhou,2016,13.43,28017
Yunnan,2016,13.16,24234
Tibet,2016,15.79,6835
Shaanxi,2016,10.64,36598
Gansu,2016,12.18,28197
Qinghai,2016,14.7,6291
Ningxia,2016,13.69,4254
Xinjiang,2016,15.34,18825
Beijing,2015,7.96,9771
Tianjin,2015,5.84,5223
Hebei,2015,11.35,78594
Shanxi,2015,9.98,41002
Inner Mongolia,2015,7.72,23886
Liaoning,2015,6.17,35236
Jilin,2015,5.87,20612
Heilongjiang,2015,6,20752
Shanghai,2015,7.52,5016
Jiangsu,2015,9.05,31925
Zhejiang,2015,10.52,31137
Anhui,2015,12.92,24853
Fujian,2015,13.9,27921
Jiangxi,2015,13.2,38557
Shandong,2015,12.55,77259
Henan,2015,12.7,71394
Hubei,2015,10.74,36179
Hunan,2015,13.58,62646
Guangdong,2015,11.12,48320
Guangxi,2015,14.05,34439
Hainan,2015,14.57,5046
Chongqing,2015,11.05,19806
Sichuan,2015,10.3,80109
Guizhou,2015,13,28712
Yunnan,2015,12.88,24181
Tibet,2015,15.75,6814
Shaanxi,2015,10.1,37030
Gansu,2015,12.36,27799
Qinghai,2015,14.72,6223
Ningxia,2015,12.62,4288
Xinjiang,2015,15.59,18798
Beijing,2014,9.75,9638
Tianjin,2014,8.19,4990
Hebei,2014,13.18,78895
Shanxi,2014,10.92,40777
Inner Mongolia,2014,9.31,23426
Liaoning,2014,6.49,35441
Jilin,2014,6.62,19891
Heilongjiang,2014,7.37,21229
Shanghai,2014,8.35,4984
Jiangsu,2014,9.45,31995
Zhejiang,2014,10.51,30358
Anhui,2014,12.86,24824
Fujian,2014,13.7,28030
Jiangxi,2014,13.24,38873
Shandong,2014,14.23,77012
Henan,2014,12.8,71154
Hubei,2014,11.86,36077
Hunan,2014,13.52,61571
Guangdong,2014,10.8,48085
Guangxi,2014,14.07,34667
Hainan,2014,14.56,5075
Chongqing,2014,10.67,18767
Sichuan,2014,10.22,81070
Guizhou,2014,12.98,28995
Yunnan,2014,12.65,24281
Tibet,2014,15.76,6795
Shaanxi,2014,10.13,37247
Gansu,2014,12.21,27916
Qinghai,2014,14.67,6241
Ningxia,2014,13.1,4255
Xinjiang,2014,16.44,18873
Beijing,2013,8.93,9683
Tianjin,2013,8.28,4689
Hebei,2013,13.04,78485
Shanxi,2013,10.81,40281
Inner Mongolia,2013,8.98,23257
Liaoning,2013,6.09,35612
Jilin,2013,5.36,19913
Heilongjiang,2013,6.86,21369
Shanghai,2013,8.18,4929
Jiangsu,2013,9.44,30998
Zhejiang,2013,10.01,30063
Anhui,2013,12.88,24645
Fujian,2013,12.2,28175
Jiangxi,2013,13.19,38902
Shandong,2013,11.41,75426
Henan,2013,12.27,71464
Hubei,2013,11.08,35631
Hunan,2013,13.5,62210
Guangdong,2013,10.71,47835
Guangxi,2013,14.28,33943
Hainan,2013,14.59,5011
Chongqing,2013,10.37,18926
Sichuan,2013,9.9,80037
Guizhou,2013,13.05,29177
Yunnan,2013,12.6,24264
Tibet,2013,15.77,6725
Shaanxi,2013,10.01,37137
Gansu,2013,12.16,26697
Qinghai,2013,14.16,6020
Ningxia,2013,13.12,4231
Xinjiang,2013,15.84,18663
Beijing,2012,9.05,9632
Tianjin,2012,8.75,4551
Hebei,2012,12.88,79119
Shanxi,2012,10.7,40192
Inner Mongolia,2012,9.17,23046
Liaoning,2012,6.15,35792
Jilin,2012,5.73,19734
Heilongjiang,2012,7.3,21158
Shanghai,2012,9.56,4845
Jiangsu,2012,9.44,31050
Zhejiang,2012,10.12,30271
Anhui,2012,13,23275
Fujian,2012,12.74,27276
Jiangxi,2012,13.46,39509
Shandong,2012,11.9,68840
Henan,2012,11.87,69258
Hubei,2012,11,35240
Hunan,2012,13.58,58612
Guangdong,2012,11.6,46534
Guangxi,2012,14.2,34152
Hainan,2012,14.66,5154
Chongqing,2012,10.86,17961
Sichuan,2012,9.89,76557
Guizhou,2012,13.27,27404
Yunnan,2012,12.63,23395
Tibet,2012,15.48,6660
Shaanxi,2012,10.12,36271
Gansu,2012,12.11,26401
Qinghai,2012,14.3,5948
Ningxia,2012,13.26,4140
Xinjiang,2012,15.32,18320
Beijing,2011,8.29,9495
Tianjin,2011,8.58,4428
Hebei,2011,13.02,80185
Shanxi,2011,10.47,40339
Inner Mongolia,2011,8.94,22908
Liaoning,2011,5.71,35229
Jilin,2011,6.53,19785
Heilongjiang,2011,6.99,21749
Shanghai,2011,6.97,4740
Jiangsu,2011,9.59,31680
Zhejiang,2011,9.47,30515
Anhui,2011,12.23,22884
Fujian,2011,11.41,27147
Jiangxi,2011,13.48,39154
Shandong,2011,11.5,68275
Henan,2011,11.56,76128
Hubei,2011,10.39,35625
Hunan,2011,13.35,59634
Guangdong,2011,10.45,45930
Guangxi,2011,13.71,34026
Hainan,2011,14.72,4816
Chongqing,2011,9.88,17650
Sichuan,2011,9.79,75815
Guizhou,2011,13.31,25943
Yunnan,2011,12.71,23248
Tibet,2011,15.39,6602
Shaanxi,2011,9.75,36396
Gansu,2011,12.08,26632
Qinghai,2011,14.43,5887
Ningxia,2011,13.65,4132
Xinjiang,2011,14.99,17412
Beijing,2010,7.48,9411
Tianjin,2010,8.18,4542
Hebei,2010,13.22,81403
Shanxi,2010,10.68,41098
Inner Mongolia,2010,9.3,22565
Liaoning,2010,6.68,34805
Jilin,2010,7.91,19385
Heilongjiang,2010,7.35,22073
Shanghai,2010,7.05,4708
Jiangsu,2010,9.73,30956
Zhejiang,2010,10.27,29939
Anhui,2010,12.7,22997
Fujian,2010,11.27,27017
Jiangxi,2010,13.72,34068
Shandong,2010,11.65,66967
Henan,2010,11.52,75741
Hubei,2010,10.36,34269
Hunan,2010,13.1,59359
Guangdong,2010,11.18,44880
Guangxi,2010,14.13,32741
Hainan,2010,14.71,4678
Chongqing,2010,9.17,17495
Sichuan,2010,8.93,74283
Guizhou,2010,13.96,25420
Yunnan,2010,13.1,22888
Tibet,2010,15.8,4960
Shaanxi,2010,9.73,35696
Gansu,2010,12.05,26673
Qinghai,2010,14.94,5781
Ningxia,2010,14.14,4129
Xinjiang,2010,15.99,16000
Beijing,2009,8.06,9734
Tianjin,2009,8.3,4238
Hebei,2009,12.93,80963
Shanxi,2009,10.87,39917
Inner Mongolia,2009,9.57,22677
Liaoning,2009,6.06,34729
Jilin,2009,6.69,18543
Heilongjiang,2009,7.48,21825
Shanghai,2009,8.64,4460
Jiangsu,2009,9.55,30571
Zhejiang,2009,10.22,29549
Anhui,2009,13.07,24799
Fujian,2009,12.2,26613
Jiangxi,2009,13.87,34005
Shandong,2009,11.7,63885
Henan,2009,11.45,75722
Hubei,2009,9.48,32790
Hunan,2009,13.05,55200
Guangdong,2009,11.78,44314
Guangxi,2009,14.17,32355
Hainan,2009,14.66,4661
Chongqing,2009,9.9,16497
Sichuan,2009,9.15,72914
Guizhou,2009,13.65,24707
Yunnan,2009,12.53,22365
Tibet,2009,15.31,4959
Shaanxi,2009,10.24,33928
Gansu,2009,13.32,25299
Qinghai,2009,14.51,5959
Ningxia,2009,14.38,4149
Xinjiang,2009,15.99,14244
Beijing,2008,8.17,6497
Tianjin,2008,8.13,2784
Hebei,2008,13.04,15632
Shanxi,2008,11.32,9431
Inner Mongolia,2008,9.81,7162
Liaoning,2008,6.32,14627
Jilin,2008,6.65,9659
Heilongjiang,2008,7.91,7928
Shanghai,2008,8.89,2822
Jiangsu,2008,9.34,13357
Zhejiang,2008,10.2,15290
Anhui,2008,13.05,7837
Fujian,2008,12.2,4478
Jiangxi,2008,13.92,8229
Shandong,2008,11.25,14973
Henan,2008,11.42,11683
Hubei,2008,9.21,10305
Hunan,2008,12.68,14455
Guangdong,2008,11.8,15819
Guangxi,2008,14.4,10427
Hainan,2008,14.71,2220
Chongqing,2008,10.1,6265
Sichuan,2008,9.54,20738
Guizhou,2008,13.49,5848
Yunnan,2008,12.63,9249
Tibet,2008,15.5,1326
Shaanxi,2008,10.29,8812
Gansu,2008,13.22,10534
Qinghai,2008,14.49,1582
Ningxia,2008,14.31,1629
Xinjiang,2008,16.05,6739
Beijing,2007,8.32,6210
Tianjin,2007,7.91,2334
Hebei,2007,13.33,19425
Shanxi,2007,11.3,9780
Inner Mongolia,2007,10.21,9076
Liaoning,2007,6.89,14819
Jilin,2007,7.55,9683
Heilongjiang,2007,7.88,8464
Shanghai,2007,9.07,2678
Jiangsu,2007,9.37,19116
Zhejiang,2007,10.38,15669
Anhui,2007,12.75,8502
Fujian,2007,11.9,4556
Jiangxi,2007,13.86,9456
Shandong,2007,11.11,15270
Henan,2007,11.26,11888
Hubei,2007,9.19,11093
Hunan,2007,11.96,14521
Guangdong,2007,11.96,16488
Guangxi,2007,14.19,10060
Hainan,2007,14.62,2330
Chongqing,2007,10.1,6293
Sichuan,2007,9.21,21380
Guizhou,2007,13.28,5956
Yunnan,2007,13.08,9693
Tibet,2007,16.4,1322
Shaanxi,2007,10.21,9708
Gansu,2007,13.14,12024
Qinghai,2007,14.93,1619
Ningxia,2007,14.8,1530
Xinjiang,2007,16.79,7465
Beijing,2006,6.26,4877
Tianjin,2006,7.67,2367
Hebei,2006,12.82,17733
Shanxi,2006,11.48,9776
Inner Mongolia,2006,9.87,7958
Liaoning,2006,6.4,15876
Jilin,2006,7.67,9696
Heilongjiang,2006,7.57,8181
Shanghai,2006,7.47,2519
Jiangsu,2006,9.36,17143
Zhejiang,2006,10.29,14230
Anhui,2006,12.6,9288
Fujian,2006,12,9652
Jiangxi,2006,13.8,10210
Shandong,2006,11.6,17016
Henan,2006,11.59,14629
Hubei,2006,9.08,10052
Hunan,2006,11.92,15331
Guangdong,2006,11.78,16953
Guangxi,2006,14.44,9977
Hainan,2006,14.59,2337
Chongqing,2006,9.9,6613
Sichuan,2006,9.14,24015
Guizhou,2006,13.97,6147
Yunnan,2006,13.2,10020
Tibet,2006,17.4,1349
Shaanxi,2006,10.19,11631
Gansu,2006,12.86,12022
Qinghai,2006,15.24,1643
Ningxia,2006,15.53,1553
Xinjiang,2006,15.79,8175
Beijing,2005,6.29,4818
Tianjin,2005,7.44,2472
Hebei,2005,12.84,18046
Shanxi,2005,12.02,9430
Inner Mongolia,2005,10.08,7629
Liaoning,2005,7.01,14925
Jilin,2005,7.89,8755
Heilongjiang,2005,7.87,8326
Shanghai,2005,7.04,2526
Jiangsu,2005,9.24,15324
Zhejiang,2005,11.1,12555
Anhui,2005,12.43,9197
Fujian,2005,11.6,7934
Jiangxi,2005,13.79,10669
Shandong,2005,12.14,16323
Henan,2005,11.55,14554
Hubei,2005,8.74,9459
Hunan,2005,11.9,15008
Guangdong,2005,11.7,16318
Guangxi,2005,14.26,9416
Hainan,2005,14.65,2464
Chongqing,2005,9.4,6380
Sichuan,2005,9.7,23832
Guizhou,2005,14.59,6571
Yunnan,2005,14.72,10110
Tibet,2005,17.94,1378
Shaanxi,2005,10.02,11701
Gansu,2005,12.59,11849
Qinghai,2005,15.7,1478
Ningxia,2005,15.93,1463
Xinjiang,2005,16.42,8087
Beijing,2004,6.1,4835
Tianjin,2004,7.31,2560
Hebei,2004,11.98,17760
Shanxi,2004,12.36,9510
Inner Mongolia,2004,9.53,7416
Liaoning,2004,6.51,14230
Jilin,2004,7.39,8219
Heilongjiang,2004,7.27,8230
Shanghai,2004,6,2551
Jiangsu,2004,9.45,13400
Zhejiang,2004,10.71,11937
Anhui,2004,11.62,8973
Fujian,2004,11.58,8672
Jiangxi,2004,13.61,12080
Shandong,2004,12.5,16526
Henan,2004,11.67,13821
Hubei,2004,8.43,9909
Hunan,2004,11.89,14885
Guangdong,2004,13.13,15744
Guangxi,2004,13.32,9034
Hainan,2004,14.77,2515
Chongqing,2004,9.45,6539
Sichuan,2004,9.05,24605
Guizhou,2004,15.08,6664
Yunnan,2004,15.6,9436
Tibet,2004,17.4,1326
Shaanxi,2004,10.59,11703
Gansu,2004,12.43,11404
Qinghai,2004,16.32,1439
Ningxia,2004,15.97,1483
Xinjiang,2004,16,9086
Beijing,2003,5.1,5073
Tianjin,2003,7.14,7132
Hebei,2003,11.43,9018
Shanxi,2003,12.26,12960
Inner Mongolia,2003,9.24,4036
Liaoning,2003,6.9,12533
Jilin,2003,7.25,7695
Heilongjiang,2003,7.48,8469
Shanghai,2003,4.85,7500
Jiangsu,2003,9.04,8870
Zhejiang,2003,9.66,6261
Anhui,2003,11.15,15688
Fujian,2003,11.43,8525
Jiangxi,2003,14.07,3348
Shandong,2003,11.42,4855
Henan,2003,12.1,13621
Hubei,2003,8.26,9498
Hunan,2003,11.82,14539
Guangdong,2003,13.66,13213
Guangxi,2003,13.86,6610
Hainan,2003,14.68,19470
Chongqing,2003,9.89,3730
Sichuan,2003,9.18,16756
Guizhou,2003,15.91,13178
Yunnan,2003,17,3006
Tibet,2003,17.4,5166
Shaanxi,2003,10.67,14369
Gansu,2003,12.58,8037
Qinghai,2003,16.94,9559
Ningxia,2003,15.68,8990
Xinjiang,2003,16.01,9618
Beijing,2002,6.6,4998
Tianjin,2002,7.49,2641
Hebei,2002,11.53,18701
Shanxi,2002,12.86,9603
Inner Mongolia,2002,9.6,6574
Liaoning,2002,7.38,13162
Jilin,2002,8.3,7556
Heilongjiang,2002,7.98,8755
Shanghai,2002,5.41,2308
Jiangsu,2002,9.17,12367
Zhejiang,2002,9.98,10708
Anhui,2002,11.2,8827
Fujian,2002,11.35,16941
Jiangxi,2002,14.74,11286
Shandong,2002,11.17,16571
Henan,2002,12.41,13291
Hubei,2002,8.38,10192
Hunan,2002,11.56,15149
Guangdong,2002,13.29,15501
Guangxi,2002,13.3,10107
Hainan,2002,15.2,2840
Chongqing,2002,9.36,5948
Sichuan,2002,10.44,28204
Guizhou,2002,17.96,7022
Yunnan,2002,17.9,8798
Tibet,2002,18.83,1348
Shaanxi,2002,10.48,12462
Gansu,2002,13.16,11062
Qinghai,2002,18.05,1450
Ningxia,2002,16.42,1370
Xinjiang,2002,16.3,10296
Beijing,2001,6.1,5969
Tianjin,2001,7.58,2803
Hebei,2001,11.16,20116
Shanxi,2001,13.06,16293
Inner Mongolia,2001,10.77,8559
Liaoning,2001,7.74,13237
Jilin,2001,8.76,7417
Heilongjiang,2001,8.48,7944
Shanghai,2001,5.02,4536
Jiangsu,2001,9.03,13208
Zhejiang,2001,10.02,16536
Anhui,2001,12.46,7038
Fujian,2001,11.56,9765
Jiangxi,2001,15.44,7581
Shandong,2001,11.12,17348
Henan,2001,13.2,10719
Hubei,2001,8.51,10941
Hunan,2001,11.8,28421
Guangdong,2001,13.95,14167
Guangxi,2001,13.8,13363
Hainan,2001,15.23,2685
Chongqing,2001,9.7,9096
Sichuan,2001,11.16,33412
Guizhou,2001,18.56,8791
Yunnan,2001,18.51,12552
Tibet,2001,18.6,1284
Shaanxi,2001,10.5,11365
Gansu,2001,13.58,7225
Qinghai,2001,19.06,1437
Ningxia,2001,16.55,1261
Xinjiang,2001,16.82,5279
